Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
274.000000000	0.000650015606274	55.4997713517	0.0180180922488	0.0638375837273	0.0638492957685	0.233341780270	75.9446257061	75.9719214053	1406.46615875	-0.240604205877	1739.98726954	0.562632670902	0.0755287004287	0.000285498855741	3502.64100851	42.8056464458	45.0824176939	164.534686299	25.5650858233	33.9621270510	409.608561226	576.972035342	9.23594278697	0.0171151434403
275.000000000	0.000698451107416	55.5022221297	0.0180172966348	0.139780887220	0.139793471421	0.510002633142	75.9029511655	75.9153740280	1411.35218806	-0.239649848111	1682.04065349	0.564532309522	0.0753881894659	0.000305665682343	3271.54815789	42.8304379673	45.1154545954	164.057861266	25.5801048589	33.9801783620	410.332051213	558.886066133	9.25960391310	0.0171681034959
276.000000000	0.000750055738265	55.5037235031	0.0180168092677	0.215669716781	0.215683230392	0.785461538382	75.8594566082	75.8629277230	1416.12415044	-0.238714613038	1627.11455568	0.566433532716	0.0752470862417	0.000327069749294	3057.45181925	42.8552200255	45.1484791630	163.585446802	25.5952371868	33.9984088798	411.053861481	541.408735410	9.28351157609	0.0172216524684
277.000000000	0.000805005995027	55.5043062048	0.0180166201215	0.291508017803	0.291522521290	1.05974145955	75.8142204459	75.8142770706	1420.78428687	-0.237797590156	1574.99941165	0.568335564758	0.0751053918999	0.000349774667616	2858.98349019	42.8799923651	45.1814910462	163.117389564	25.6104764230	34.0168129202	411.774003093	524.523445926	9.30766055942	0.0172757847587
278.000000000	0.000863486728068	55.5039991737	0.0180167197839	0.367299444850	0.367315002048	1.33286406389	75.7673155933	75.7691452861	1425.33476901	-0.236897919731	1525.50350028	0.570237576728	0.0749631075881	0.000373846617158	2674.89380431	42.9047547243	45.2144898851	162.653637024	25.6258165285	34.0353852127	412.492486459	508.213725063	9.33204579144	0.0173304950895
279.000000000	0.000925690927254	55.5028296959	0.0180170994070	0.443047388547	0.443064066813	1.60484983750	75.7188098116	75.7272808231	1429.77770021	-0.236014790299	1478.45116548	0.572138698905	0.0748202344577	0.000399354416556	2504.04141921	42.9295068341	45.2474753104	162.194137449	25.6412518387	34.0541209333	413.209321290	492.463245173	9.35666233955	0.0173857784954
280.000000000	0.000991820378267	55.5008235315	0.0180177506633	0.518754999319	0.518772869692	1.87571818717	75.6687660510	75.6884544489	1434.11511724	-0.235147436086	1433.68123968	0.574038031606	0.0746767736639	0.000426369593783	2345.38300709	42.9542484184	45.2804469431	161.738839878	25.6567770900	34.0730157351	413.924516564	477.255843051	9.38150540463	0.0174416303127
281.000000000	0.00106208514148	55.4980050296	0.0180186657064	0.594425208415	0.594444345772	2.14548753077	75.6172427893	75.6524567214	1438.34899243	-0.234295134423	1391.04564354	0.575934654671	0.0745327263659	0.000454966457252	2197.96423244	42.9789791938	45.3134043944	161.287694109	25.6723874441	34.0920657757	414.638080483	462.575538435	9.40657031568	0.0174980461707
282.000000000	0.00113670493258	55.4943972331	0.0180198371342	0.670060746573	0.670081229811	2.41417537753	75.5642943621	75.6190958083	1442.48123622	-0.233457203184	1350.40813980	0.577827635749	0.0743880937265	0.000485222167415	2060.91161360	43.0036988691	45.3463472650	160.840650679	25.6880785096	34.1112677419	415.350020447	448.406551454	9.43185252481	0.0175550219827
283.000000000	0.00121590845934	55.4900219724	0.0180212579569	0.745664160664	0.745686072864	2.68179839992	75.5099712827	75.5881955976	1446.51369976	-0.232632998291	1311.64322240	0.579716037519	0.0742428769127	0.000517216808849	1933.42517662	43.0284071456	45.3792751453	160.397660847	25.7038463618	34.1306188723	416.060343020	434.733318964	9.45734760239	0.0176125539372
284.000000000	0.00129993417371	55.4848999525	0.0180229215671	0.821237828573	0.821261257185	2.94837249788	75.4543205486	75.5595940570	1450.44817771	-0.231821911297	1274.63512422	0.581598923974	0.0740970770951	0.000551033462763	1814.77181982	43.0531037166	45.4121876153	159.958676576	25.7196875594	34.1501169764	416.769053904	421.540509715	9.48305123239	0.0176706384901
285.000000000	0.00138903047237	55.4790508306	0.0180248217125	0.896783972541	0.896809009567	3.21391285659	75.3973859350	75.5331418063	1454.28641093	-0.231023367071	1239.27692955	0.583475365866	0.0739506954487	0.000586758279903	1704.27931612	43.0777882673	45.4450842440	159.523650521	25.7355991586	34.1697604510	417.476157920	408.813038328	9.50895920807	0.0177292723564
286.000000000	0.00148345613359	55.4724932881	0.0180269524719	0.972304671182	0.972331413375	3.47843399861	75.3392082717	75.5087008718	1458.03008919	-0.230236821589	1205.46977863	0.585344445426	0.0738037331521	0.000624480553805	1601.33088838	43.1024604746	45.4779645895	159.092536013	25.7515787251	34.1895482935	418.181658985	396.536078059	9.53506742768	0.0177884525030
287.000000000	0.00158348018885	55.4652450958	0.0180293082321	1.04780187033	1.04783041938	3.74194983098	75.2798257052	75.4861435970	1461.68085379	-0.229461759843	1173.12215379	0.587205260410	0.0736561913880	0.000664292794368	1505.36029967	43.1271200072	45.5108281986	158.665287041	25.7676243430	34.2094801134	418.885560100	384.695072342	9.56137189054	0.0178481761407
288.000000000	0.00168938267189	55.4573231738	0.0180318836678	1.12327739286	1.12330785562	4.00447368793	75.2192739449	75.4653516868	1465.24030002	-0.228697693864	1142.14923772	0.589056927580	0.0735080713432	0.000706290801694	1415.84740677	43.1517665253	45.5436746071	158.241858242	25.7837346219	34.2295561394	419.587863335	373.275745114	9.58786869316	0.0179084407177
289.000000000	0.00180145473663	55.4487436467	0.0180346737227	1.19873294764	1.19876543629	4.26601836983	75.1575864924	75.4462153672	1468.70997955	-0.227944160870	1112.47233575	0.590898585657	0.0733593742086	0.000750573740162	1332.31413050	43.1763996804	45.5765033392	157.822204885	25.7999087011	34.2497772255	420.288569823	362.264109943	9.61455402557	0.0179692439123
290.000000000	0.00191999911095	55.4395218936	0.0180376735918	1.27417013763	1.27420476995	4.52659617862	75.0947948556	75.4286326445	1472.09140263	-0.227200721517	1084.01835490	0.592729397811	0.0732101011790	0.000797244212695	1254.32080168	43.2010191155	45.6093139077	157.406282861	25.8161462511	34.2701448527	420.987679754	351.646477972	9.64142416789	0.0180305836264
291.000000000	0.00204532992762	55.4296725949	0.0180408787060	1.34959046737	1.34962736692	4.78621895038	75.0309287469	75.4125086485	1475.38604019	-0.226466958278	1056.71933367	0.594548553753	0.0730602534535	0.000846408335173	1181.46284535	43.2256244647	45.6421058137	156.994048664	25.8324474739	34.2906611299	421.685192374	341.409464716	9.66847548693	0.0180924579788
292.000000000	0.00217777383079	55.4192097749	0.0180442847176	1.42499534977	1.42503464614	5.04489808507	74.9660162667	75.3977550513	1478.59532578	-0.225742473923	1030.51201677	0.596355271444	0.0729098322354	0.000898175810962	1113.36777031	43.2502153535	45.6748785464	156.585459388	25.8488130996	34.3113287907	422.381105984	331.539995732	9.69570443300	0.0181548652993
293.000000000	0.00231766953623	55.4081468412	0.0180478874860	1.50038611240	1.50042794144	5.30264457395	74.9000840716	75.3842895486	1481.72065737	-0.225026890102	1005.33747016	0.598148798495	0.0727588387319	0.000952660005511	1049.69243404	43.2747913984	45.7076315837	156.180472704	25.8652443822	34.3321511890	423.075417947	322.025311227	9.72310753692	0.0182178041222
294.000000000	0.00246536862089	55.3964966212	0.0180516830665	1.57576400327	1.57580850733	5.55946902492	74.8331575293	75.3720353966	1484.76339901	-0.224319846036	981.140732115	0.599928413270	0.0726072741547	0.00100997802097	990.120556323	43.2993522070	45.7403643910	155.779046861	25.8817430930	34.3531322917	423.768124695	312.852969620	9.75068140702	0.0182812731808
295.000000000	0.00262123576612	55.3842713959	0.0180556676976	1.65113019620	1.65117752436	5.81538168579	74.7652608604	75.3609209976	1487.72488241	-0.223620997292	957.870496433	0.601693425726	0.0724551397195	0.00107025077082	934.360457624	43.3238973781	45.7730764224	155.381140662	25.8983115111	34.3742766697	424.459221738	304.010850125	9.77842272642	0.0183452714010
296.000000000	0.00278564886696	55.3714829311	0.0180598377913	1.72648579573	1.72653610410	6.07039246602	74.6964172669	75.3508795261	1490.60640830	-0.222930014657	935.478824565	0.603443178033	0.0723024366464	0.00113360305442	882.143000672	43.3484265013	45.8057671197	154.986713465	25.9149524140	34.3955894866	425.148703677	295.487154398	9.80632825030	0.0184097978965
297.000000000	0.00295899954650	55.3581425061	0.0180641899227	1.80183184176	1.80188529369	6.32451095671	74.6266490495	75.3418485929	1493.40924783	-0.222246583087	913.920883685	0.605177044987	0.0721491661597	0.00120016363149	833.219715846	43.3729391576	45.8384359129	154.595725163	25.9316690651	34.4170764860	425.836564218	287.270407296	9.83439480341	0.0184748519625
298.000000000	0.00314169362656	55.3442609410	0.0180687208212	1.87716931378	1.87722608017	6.57774644930	74.5559777137	75.3337699394	1496.13464368	-0.221570400743	893.154708064	0.606894434234	0.0719953294882	0.00127006529645	787.361093004	43.3974349187	45.8710822200	154.208136180	25.9484652001	34.4387439765	426.522796195	279.349456813	9.86261927757	0.0185404330710
299.000000000	0.00333415108385	55.3298486215	0.0180734273618	1.95249913492	1.95255939445	6.83010795295	74.4844240652	75.3265891611	1498.78381125	-0.220901178088	873.140981447	0.608594786346	0.0718409278649	0.00134344495260	744.355024047	43.4219133477	45.9037054469	153.823907460	25.9653450123	34.4605988160	427.207391581	271.713473225	9.89099862937	0.0186065408652
300.000000000	0.00353680675598	55.3149155222	0.0180783065573	2.02782217560	2.02788611508	7.08160421069	74.4120082960	75.3202554553	1501.35793963	-0.220238637067	853.842838347	0.610277574742	0.0716859625272	0.00142044368610	704.005382110	43.4463739986	45.9363049878	153.443000453	25.9823131365	34.4826483938	427.890341517	264.351947527	9.91952987792	0.0186731751546
